site.pop,site,pop,rep,ind.x,ind.id,pop.name,mkleaf,sdkleaf,nkleaf,mkstem,sdkstem,nkstem,mkstem.sa.l,mWD,nWD,mleafsize,nhub,mstemlength,mstemarea,mleafarea,mleafmass,mstemmass,mSLA,mLDMC,mml_ms,P50leaf,P50stem,mAl_As,log.Al_As,log.leafsize,cwd,aet,pet,ppt,tmn,tmx,cwd.2018wy,aet.2018wy,pet.2018wy,ppt.2018wy,tmn.2018wy,tmx.2018wy
H1,H,1,1,c,H1_1,SMT,2.074993316,0.024513329,3,27.0589826,6.558549394,4,738.840487,0.759196429,2,10.69323693,3,74.38666667,4.145956916,133.501,1.6311,0.291966667,82.14486749,0.436765735,6.315660814,-3.84,-4.352724523,35.07274513,1.544969759,1.02910919,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
H1,H,1,2,b,H1_2,SMT,2.511076577,0.173295447,3,29.15037506,5.834946338,3,409.2111421,0.702669514,2,6.586722222,3,58.52666667,2.723516484,58.93533333,0.742033333,0.149566667,81.3841101,0.490434174,5.025621879,-3.063914932,-3.99,22.32492438,1.348789997,0.818669349,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
H1,H,1,3,a,H1_3,SMT,2.457132542,0.538142961,4,39.65181312,22.07101162,4,1033.919941,0.772680998,3,5.9955,3,66.14333333,3.901936615,88.60566667,1.124366667,0.1969,81.55190484,0.416508087,5.735023369,NA,-4.92,23.2513529,1.366448228,0.777825407,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
H1,H,1,4,b,H1_4,SMT,2.456911855,0.307951521,2,46.28029945,4.557125968,3,1148.049769,0.800417674,2,7.15003729,5,107.656,6.490924867,95.6518,1.33444,0.63188,75.81043958,0.482263883,3.277670446,NA,-4.034354246,24.89236639,1.396066185,0.854308307,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
H1,H,1,5,a,H1_5,SMT,2.431961715,0.151453234,3,33.57528766,4.311100156,3,802.941961,0.771105369,2,8.256623932,3,76.15666667,3.542870028,92.33333333,1.2008,0.2629,77.26333215,0.420227359,6.747870686,NA,-4.94,26.67133412,1.42604474,0.916802504,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
H15,H,15,1,b,H15_1,SUG,2.674614326,0.236070548,4,31.7025328,15.06696623,3,675.2580514,0.750192538,3,4.829510101,3,84.65,4.690921431,58.78966667,0.853866667,0.3232,68.45683572,0.50435789,3.386222733,-5.410241131,-5.05,18.71002775,1.272074432,0.683903079,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
H15,H,15,2,b,H15_2,SUG,2.246856078,0.165309477,3,42.69413519,3.11662581,2,415.8675261,0.760782249,3,10.24107143,2,49.435,2.560245297,77,0.98985,0.1259,77.58193785,0.433502701,10.36415333,NA,-3.84,27.82214681,1.444390638,1.010345395,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
H15,H,15,3,c,H15_3,SUG,2.331609521,0.488618756,3,18.62207318,10.20152734,4,352.852314,0.757748491,5,2.836667521,3,48.80333333,1.865623162,32.22533333,0.350133333,0.072366667,92.37290535,0.453655515,4.870706381,NA,NA,18.00569571,1.255409907,0.452808436,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
H15,H,15,4,c,H15_4,SUG,2.600296115,0.347354974,4,61.40308425,9.659036072,4,798.2238951,0.752182148,2,4.158188687,3,172.5666667,5.695538765,82.17366667,0.871266667,0.440033333,94.01036603,0.411210327,2.090108568,-3.628978697,-5.12,13.72322839,1.137456291,0.618904193,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
H15,H,15,5,c,H15_5,SUG,3.452333884,0.974609568,4,37.94355126,15.16992929,4,309.1397856,0.76074611,2,6.358039683,3,23.14666667,1.362933431,42.49266667,0.543233333,0.0467,78.98398105,0.421201678,12.20674247,NA,-5.12,22.98649787,1.361472809,0.803323234,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
H16,H,16,1,c,H16_1,SRD,2.692407609,0.260507761,3,27.38467731,9.509091091,3,494.7067146,0.759807692,2,7.004761905,3,32.83,1.750466338,57.33333333,0.662133333,0.059666667,86.58710499,0.408157223,11.81517206,NA,-4.16,33.00358576,1.518561127,0.845393378,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,2,a,H16_2,SRD,2.98792125,0.201475591,4,40.2254633,17.08779684,2,541.0556483,0.759258289,2,3.168691619,3,281.63,7.230328949,118.612,1.680833333,1.207333333,72.96359424,0.490442064,2.082681482,-2.979062479,-6.086465064,17.41373324,1.240891887,0.500879975,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,3,b,H16_3,SRD,2.580684711,0.856014936,5,38.27396018,20.17657213,3,487.6778529,0.7802107,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.46,22.6202186,1.354496798,NA,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,4,b,H16_4,SRD,2.207652909,0.355255041,4,38.35175684,3.142878256,3,498.6784349,0.800058672,2,5.821511111,3,72.32333333,3.009724302,63.412,0.741233333,0.171066667,85.61552548,0.447812457,4.965467893,-3.475100482,-5.14,20.37732682,1.309147211,0.765035731,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,5,b,H16_5,SRD,2.458030118,0.179189215,3,50.98800263,10.84716048,3,1359.725873,0.727447217,1,7.582201389,3,89.86666667,4.084172261,85.634,0.980933333,0.3093,89.09345969,0.451981029,4.013518506,-3.004470416,-4.83,28.15072614,1.449489602,0.879795315,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,1,c,H18_1,SON,2.65301163,0.344227144,3,34.00995011,11.28345385,3,1063.194616,0.800146123,2,5.115740741,3,44.26666667,1.837590265,42.33333333,0.487966667,0.117133333,86.65022719,0.454599742,4.424219687,-4.455543036,-4.63,27.12185033,1.433319315,0.708908527,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,2,a,H18_2,SON,2.493981915,0.223344199,3,18.13298533,NA,1,570.7024629,0.807672096,2,5.83807619,3,93.67333333,3.500714509,59.58833333,0.6485,0.2629,92.43529689,0.439491895,2.471050718,-3.640848863,-3.57,30.20655472,1.480101194,0.766269758,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,3,c,H18_3,SON,2.185084597,0.346784778,4,45.08837384,25.12908366,4,566.0016225,0.797716069,2,4.905874218,6,96.07666667,3.790325719,59.83333333,0.809483333,0.318216667,74.41227985,0.424227607,2.742242487,NA,-3.2,18.12840046,1.258359486,0.690716409,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
