"","site.pop","rep","ind","pop","site","site.rep","Date","branch","Stem_diameter_mm","Stem_length_mm","Leaf_WW_g","Leaf_dryweight_g","Stem_dryweight_g","Leaf_area_cm.2","leaf_number","Notes","Stem_area","cwd","ppt","ppt2018","cwd2018","Al_As","SLA","LDMC","leafsize","ind.id","LMF","ml_ms","log.ml_ms","log.Al_As"
"1","H22","5","c","22","H","H.5","7/17/18","h1",1.63,45.46,0.6411,0.2716,0.0895,22,6,"",2.08672438033068,993.3000148,471.685007,325.13999402523,1093.82999091968,10.5428393933432,81.0014727540501,0.423646856964592,3.66666666666667,"H22_5_c",0.752146219883689,3.03463687150838,0.482106730292552,1.02295759064812
"2","H22","5","c","22","H","H.5","7/17/18","h2",1.586666667,34.73,1.0605,0.426,0.0698,34,7,"",1.97724860383011,993.3000148,471.685007,325.13999402523,1093.82999091968,17.1956120915392,79.81220657277,0.401697312588402,4.85714285714286,"H22_5_c",0.859217426381605,6.10315186246418,0.785554176479558,1.23541763949195
"3","H22","5","c","22","H","H.5","7/17/18","h3",1.255,31.59,0.8494,0.3474,0.0391,35,8,"",1.23702174230507,993.3000148,471.685007,325.13999402523,1093.82999091968,28.2937629978767,100.748416810593,0.408994584412526,4.375,"H22_5_c",0.898835705045278,8.8849104859335,0.948653056715213,1.45169071134999
"4","H18","3","c","18","H","H.3","7/17/18","h1",2.576666667,122.71,2.938,1.2233,0.5177,80,14,"",5.21442421442374,981.6850146,454.6725068,321.759994268417,1019.62001609802,15.3420582427318,65.396877299109,0.416371681415929,5.71428571428571,"H18_3_c",0.702642159678346,2.36295151632219,0.373454810752238,1.18588362711608
"5","H18","3","c","18","H","H.3","7/17/18","h2",2.23,74.13,1.2946,0.5831,0.2208,40,9,"",3.90570652675917,981.6850146,454.6725068,321.759994268417,1019.62001609802,10.2414248807349,68.598868118676,0.45040939286266,4.44444444444444,"H18_3_c",0.725338972509019,2.64085144927536,0.421743972363883,1.01036038386547
"6","H18","3","c","18","H","H.3","7/17/18","h3",1.956666667,82.75,1.577,0.7361,0.2423,53,11,"",3.00693177617668,981.6850146,454.6725068,321.759994268417,1019.62001609802,17.6259403089583,72.0010868088575,0.466772352568167,4.81818181818182,"H18_3_c",0.752350776778414,3.03796945934792,0.482583403594133,1.24615229503074
"7","H18","3","c","18","H","H.3","7/17/18","h1",2.24,88.26,2.4358,0.9701,0.2895,80,15,"",3.94081382466304,981.6850146,454.6725068,321.759994268417,1019.62001609802,20.3003753943744,82.4657251829708,0.398267509647754,5.33333333333333,"H18_3_c",0.770165131787869,3.35094991364421,0.525167936522081,1.30750406895745
"8","H18","3","c","18","H","H.3","7/17/18","h2",2.41,154.93,2.5625,0.9788,0.5246,77,14,"",4.56167107282872,981.6850146,454.6725068,321.759994268417,1019.62001609802,16.8797790920624,78.6677564364528,0.381970731707317,5.5,"H18_3_c",0.651057602767061,1.86580251620282,0.270865674425417,1.22736675865657
"9","H18","3","c","18","H","H.3","7/17/18","h3",1.64,53.68,0.8469,0.3655,0.1144,29,8,"",2.11240690027378,981.6850146,454.6725068,321.759994268417,1019.62001609802,13.7284156741968,79.343365253078,0.431573975675995,3.625,"H18_3_c",0.761617003542405,3.19493006993007,0.504461356836874,1.13762042043739
"10","H1","5","a","1","H","H.5","7/17/18","h1",1.833333333,31.38,2.7971,1.0743,0.0821,91,8,"",2.63981049268149,690.0800103,1221.930018,759.229991018772,719.270004272461,34.472171488175,84.7063203946756,0.384076364806407,11.375,"H1_5_a",0.929003804911795,13.0852618757613,1.11678241861212,1.53746864156368
