"","site.pop","rep","ind","branch","pop","site","site.rep","label_branch","individual","Wood_density_WW","Wood_density_DW","Branch_diameter_mm","notes","WD","cwd","ind.id"
"1","H18","2","a","","18","H","H.2","H18_2_a",1,8.68,6.7,NA,"",0.771889400921659,981.6850146,"H18_2_a"
"2","H18","2","a","","18","H","H.2","H18_2_a",2,7.41,6.25,NA,"",0.843454790823212,981.6850146,"H18_2_a"
"3","H18","1","c","","18","H","H.1","H18_1_c",1,7.15,5.66,NA,"",0.791608391608392,981.6850146,"H18_1_c"
"4","H18","1","c","","18","H","H.1","H18_1_c",2,7.37,5.96,NA,"",0.808683853459973,981.6850146,"H18_1_c"
"5","H26","4","b","","26","H","H.4","H26_4_b",1,14.88,10.89,NA,"",0.731854838709677,985.8075147,"H26_4_b"
"6","H26","4","b","","26","H","H.4","H26_4_b",2,8.25,5.87,NA,"",0.711515151515152,985.8075147,"H26_4_b"
"7","H15","5","c","","15","H","H.5","H15_5_c",1,10.3,7.77,NA,"",0.754368932038835,733.8575109,"H15_5_c"
"8","H15","5","c","","15","H","H.5","H15_5_c",2,16.79,12.88,NA,"",0.767123287671233,733.8575109,"H15_5_c"
"9","H16","4","b","","16","H","H.4","H16_4_b",1,11.51,9.07,NA,"",0.788010425716768,783.2500117,"H16_4_b"
"10","H16","4","b","","16","H","H.4","H16_4_b",2,12.72,10.33,NA,"",0.812106918238994,783.2500117,"H16_4_b"
"11","H3","3","b","","3","H","H.3","H3_3_b",1,5,3.84,NA,"",0.768,671.70251,"H3_3_b"
"12","H18","5","b","","18","H","H.5","H18_5_b",1,9.77,7.67,NA,"",0.785056294779939,981.6850146,"H18_5_b"
"13","H18","5","b","","18","H","H.5","H18_5_b",2,18.97,14.42,NA,"",0.760147601476015,981.6850146,"H18_5_b"
"14","H1","2","b","","1","H","H.2","H1_2_b",1,9.48,6.58,NA,"",0.694092827004219,690.0800103,"H1_2_b"
"15","H1","2","b","","1","H","H.2","H1_2_b",2,9.87,7.02,NA,"",0.711246200607903,690.0800103,"H1_2_b"
"16","H3","1","b","","3","H","H.1","H3_1_b",1,5.13,3.78,NA,"",0.736842105263158,671.70251,"H3_1_b"
"17","H3","1","b","","3","H","H.1","H3_1_b",2,9.69,7.01,NA,"",0.723426212590299,671.70251,"H3_1_b"
"18","H22","1","c","","22","H","H.1","H22_1_c",1,10.02,8.18,NA,"",0.816367265469062,993.3000148,"H22_1_c"
"19","H22","1","c","","22","H","H.1","H22_1_c",2,7.47,6.14,NA,"",0.821954484605087,993.3000148,"H22_1_c"
"20","H1","4","b","","1","H","H.4","H1_4_b",1,15.84,12.3,NA,"",0.776515151515152,690.0800103,"H1_4_b"
"21","H1","4","b","","1","H","H.4","H1_4_b",2,32.73,26.98,NA,"",0.824320195539261,690.0800103,"H1_4_b"
"22","H15","1","b","","15","H","H.1","H15_1_b",1,4.09,2.95,NA,"",0.721271393643032,733.8575109,"H15_1_b"
"23","H15","1","b","","15","H","H.1","H15_1_b",2,5.12,3.84,NA,"",0.75,733.8575109,"H15_1_b"
"24","H15","1","b","","15","H","H.1","H15_1_b",3,16.72,13.03,24.31666667,"",0.779306220095694,733.8575109,"H15_1_b"
"25","H22","6","c","","22","H","H.6","H22_6_c",1,8.67,7.26,NA,"",0.837370242214533,993.3000148,"H22_6_c"
"26","H22","6","c","","22","H","H.6","H22_6_c",2,17.33,14.19,NA,"",0.818811309867282,993.3000148,"H22_6_c"
"27","H22","5","c","","22","H","H.5","H22_5_c",1,13.7,10.66,NA,"",0.778102189781022,993.3000148,"H22_5_c"
