"","Trait","n","eta2","omega2","sig","pop.rand","bestclim","climvar","CV"
"1","SLA",35,0.358728548167506,0.216358084804881,0.039,"no","PET",0.290206020931042,0.0919010584877328
"2","LDMC",35,0.180099812233959,0.00428154209940648,0.43,"no","none",0,0.0605764448917936
"3","WD",34,0.242044181115243,0.0715995799464054,0.237,"no","PPT",0.118019212099105,0.0361879853542622
"4","ml_ms",35,0.121592787734845,-0.0646103922318407,0.693,"no","none",0,0.518182549427869
"5","Al_As",37,0.274301326003766,0.126110972357316,0.115,"no","none",0,0.270710126971722
"6","leafsize",35,0.402589073968214,0.26883652281686,0.017,"no","PPT",0.259301281456466,0.338084768971392
"7","kleaf",35,0.143562474456781,-0.0387738738532441,0.591,"no","none",0,0.125730189995894
"8","kstem",35,0.207317636901848,0.0364259099390829,0.325,"no","none",0,0.286439551806325
"9","Ks",35,0.133860420434012,-0.0501884119714133,0.636,"no","none",0,0.505639074107383
"10","P50stem",33,0.205176636922016,0.0211105098115311,0.379,"no","none",0,0.190630640661698
"11","P50leaf",18,0.535482805616,0.270679318008449,0.134,"no","none",0,0.175173345877092
"12","Growth",453,0.201957083290191,0.169255186143003,0,"yes","PET",0.0520364812644121,0.24137803023503
